<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.10	00:00:00	3326.809	3326.851	3314.554	3316.578	11101	0	159
2025.06.10	01:00:00	3316.651	3319.938	3302.929	3306.264	16800	0	159
2025.06.10	02:00:00	3306.227	3310.391	3301.917	3309.300	11593	0	159
2025.06.10	03:00:00	3309.293	3310.430	3305.051	3307.602	7721	0	159
2025.06.10	04:00:00	3307.592	3308.786	3302.789	3307.318	6078	0	159
2025.06.10	05:00:00	3307.328	3319.206	3306.813	3317.623	12788	0	159
2025.06.10	06:00:00	3317.712	3331.322	3315.504	3325.374	12937	0	159
2025.06.10	07:00:00	3325.349	3332.201	3324.002	3330.180	11593	0	159
2025.06.10	08:00:00	3330.090	3334.834	3326.194	3329.337	8491	0	159
2025.06.10	09:00:00	3329.300	3331.863	3327.141	3329.798	6038	0	159
2025.06.10	10:00:00	3329.825	3336.269	3328.406	3335.389	6420	0	159
2025.06.10	11:00:00	3335.392	3342.587	3332.176	3333.780	8606	0	159
2025.06.10	12:00:00	3333.817	3340.279	3328.200	3337.199	11204	0	159
2025.06.10	13:00:00	3337.129	3349.153	3335.525	3343.628	15748	0	159
2025.06.10	14:00:00	3343.591	3343.727	3325.446	3328.617	19207	0	159
2025.06.10	15:00:00	3328.540	3329.346	3323.165	3326.692	13548	0	159
2025.06.10	16:00:00	3326.653	3327.758	3319.944	3321.357	8395	0	159
2025.06.10	17:00:00	3321.382	3325.827	3320.427	3324.763	6582	0	159
2025.06.10	18:00:00	3324.670	3325.355	3319.358	3321.628	6106	0	159
2025.06.10	19:00:00	3321.677	3334.536	3321.402	3328.716	7121	0	159
2025.06.10	20:00:00	3328.757	3328.958	3322.355	3322.514	5009	0	159
2025.06.10	22:00:00	3321.278	3327.505	3320.724	3324.422	5537	0	159
2025.06.10	23:00:00	3324.461	3328.140	3315.517	3327.862	9352	0	159
2025.06.11	00:00:00	3327.936	3335.204	3325.008	3332.450	11127	0	159
2025.06.11	01:00:00	3332.350	3337.467	3327.612	3328.605	9842	0	159
2025.06.11	02:00:00	3328.546	3339.566	3327.078	3338.263	7734	0	159
2025.06.11	03:00:00	3338.314	3341.566	3336.407	3339.416	6158	0	159
2025.06.11	04:00:00	3339.387	3342.951	3336.812	3341.901	5760	0	159
2025.06.11	05:00:00	3341.855	3343.147	3335.522	3339.704	7427	0	159
2025.06.11	06:00:00	3339.697	3340.233	3332.476	3337.234	9599	0	159
2025.06.11	07:00:00	3337.255	3348.531	3335.165	3345.696	9084	0	159
2025.06.11	08:00:00	3345.664	3346.742	3342.535	3344.572	7488	0	159
2025.06.11	09:00:00	3344.526	3344.701	3331.238	3333.759	11517	0	159
2025.06.11	10:00:00	3333.817	3336.798	3328.452	3329.920	7825	0	159
2025.06.11	11:00:00	3329.886	3335.269	3326.110	3333.072	9370	0	159
2025.06.11	12:00:00	3333.152	3360.764	3327.196	3336.728	30443	0	159
2025.06.11	13:00:00	3336.732	3344.491	3327.882	3330.022	30807	0	159
2025.06.11	14:00:00	3329.907	3341.280	3328.542	3337.564	17282	0	159
2025.06.11	15:00:00	3337.606	3342.764	3329.557	3333.267	13698	0	159
2025.06.11	16:00:00	3333.247	3334.492	3328.090	3330.267	9160	0	159
2025.06.11	17:00:00	3330.308	3331.435	3319.220	3324.278	11468	0	160
2025.06.11	18:00:00	3324.303	3347.342	3323.804	3343.900	19304	0	160
2025.06.11	19:00:00	3343.827	3349.268	3342.312	3346.849	10069	0	160
2025.06.11	20:00:00	3346.876	3355.647	3346.522	3355.508	5814	0	160
2025.06.11	22:00:00	3359.272	3369.788	3356.289	3368.948	8862	0	160
2025.06.11	23:00:00	3368.984	3373.534	3357.635	3365.376	11230	0	160
2025.06.12	00:00:00	3365.405	3371.364	3362.120	3365.865	14164	0	160
2025.06.12	01:00:00	3365.890	3376.896	3362.401	3371.117	15535	0	160
2025.06.12	02:00:00	3371.072	3377.804	3368.946	3374.674	10363	0	160
2025.06.12	03:00:00	3374.649	3376.612	3371.603	3373.426	7298	0	160
2025.06.12	04:00:00	3373.409	3373.770	3369.430	3370.371	5206	0	160
2025.06.12	05:00:00	3370.442	3375.783	3367.772	3374.598	6517	0	160
2025.06.12	06:00:00	3374.475	3375.601	3365.254	3375.026	10032	0	160
2025.06.12	07:00:00	3374.982	3375.196	3338.536	3346.168	21399	0	160
2025.06.12	08:00:00	3346.192	3361.157	3346.192	3356.789	16758	0	160
2025.06.12	09:00:00	3356.709	3367.962	3355.332	3365.354	11647	0	160
2025.06.12	10:00:00	3365.450	3385.913	3362.532	3382.487	14594	0	160
2025.06.12	11:00:00	3382.577	3388.581	3373.175	3379.285	13700	0	160
2025.06.12	12:00:00	3379.252	3390.391	3376.337	3388.008	17737	0	160
2025.06.12	13:00:00	3388.123	3399.045	3379.389	3392.026	26593	0	160
