<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.10	00:00:00	3326.809	3326.851	3321.507	3321.532	701	0	160
2025.06.10	00:05:00	3321.440	3322.168	3320.412	3320.479	725	0	160
2025.06.10	00:10:00	3320.553	3323.812	3319.997	3323.469	820	0	160
2025.06.10	00:15:00	3323.464	3324.664	3322.805	3324.129	661	0	160
2025.06.10	00:20:00	3324.150	3325.282	3322.650	3322.651	694	0	159
2025.06.10	00:25:00	3322.694	3322.807	3319.180	3320.665	843	0	160
2025.06.10	00:30:00	3320.698	3322.762	3319.500	3319.791	909	0	159
2025.06.10	00:35:00	3319.756	3320.347	3317.074	3318.756	1590	0	160
2025.06.10	00:40:00	3318.715	3319.449	3315.793	3316.087	1312	0	159
2025.06.10	00:45:00	3316.080	3317.874	3314.923	3316.967	1009	0	159
2025.06.10	00:50:00	3316.980	3318.456	3315.602	3315.696	928	0	159
2025.06.10	00:55:00	3315.741	3316.947	3314.554	3316.578	909	0	159
2025.06.10	01:00:00	3316.651	3319.640	3313.373	3319.294	2027	0	160
2025.06.10	01:05:00	3319.371	3319.938	3316.392	3316.541	1468	0	159
2025.06.10	01:10:00	3316.589	3317.467	3312.001	3313.491	1584	0	160
2025.06.10	01:15:00	3313.457	3315.036	3311.922	3314.352	1302	0	159
2025.06.10	01:20:00	3314.339	3315.771	3311.062	3311.431	1202	0	159
2025.06.10	01:25:00	3311.434	3313.223	3308.924	3310.913	1609	0	159
2025.06.10	01:30:00	3310.942	3312.074	3306.294	3307.577	1448	0	159
2025.06.10	01:35:00	3307.544	3309.493	3306.840	3308.320	1410	0	159
2025.06.10	01:40:00	3308.370	3309.158	3305.848	3306.658	1418	0	159
2025.06.10	01:45:00	3306.631	3307.462	3304.632	3304.650	1214	0	159
2025.06.10	01:50:00	3304.626	3306.231	3302.929	3304.782	1076	0	160
2025.06.10	01:55:00	3304.881	3308.200	3303.455	3306.264	1042	0	159
2025.06.10	02:00:00	3306.227	3307.686	3304.499	3305.310	1170	0	159
2025.06.10	02:05:00	3305.344	3306.293	3303.020	3306.293	1102	0	159
2025.06.10	02:10:00	3306.231	3308.335	3305.793	3307.927	914	0	160
2025.06.10	02:15:00	3307.961	3308.848	3306.563	3306.783	829	0	160
2025.06.10	02:20:00	3306.826	3307.726	3304.174	3305.666	901	0	160
2025.06.10	02:25:00	3305.583	3306.079	3302.997	3303.817	932	0	159
2025.06.10	02:30:00	3303.769	3305.308	3301.917	3304.648	1201	0	159
2025.06.10	02:35:00	3304.612	3307.577	3304.154	3306.311	889	0	160
2025.06.10	02:40:00	3306.327	3307.817	3304.261	3304.991	998	0	159
2025.06.10	02:45:00	3305.081	3307.703	3304.534	3307.179	828	0	159
2025.06.10	02:50:00	3307.070	3309.654	3306.494	3309.398	1091	0	159
2025.06.10	02:55:00	3309.470	3310.391	3307.669	3309.300	738	0	159
2025.06.10	03:00:00	3309.293	3309.739	3307.629	3308.018	785	0	160
2025.06.10	03:05:00	3308.051	3310.430	3307.297	3308.082	806	0	160
2025.06.10	03:10:00	3308.108	3308.306	3305.395	3305.736	817	0	160
2025.06.10	03:15:00	3305.705	3307.319	3305.051	3307.124	651	0	159
2025.06.10	03:20:00	3307.124	3307.410	3305.920	3307.137	661	0	160
2025.06.10	03:25:00	3307.131	3309.113	3306.986	3307.447	611	0	160
2025.06.10	03:30:00	3307.510	3309.540	3306.995	3309.006	662	0	160
2025.06.10	03:35:00	3308.973	3309.576	3308.333	3309.005	574	0	160
2025.06.10	03:40:00	3309.029	3309.411	3307.814	3308.300	527	0	159
2025.06.10	03:45:00	3308.229	3309.036	3307.576	3307.759	406	0	160
2025.06.10	03:50:00	3307.747	3308.835	3306.984	3307.027	477	0	159
2025.06.10	03:55:00	3306.968	3309.540	3306.968	3307.602	744	0	160
2025.06.10	04:00:00	3307.592	3308.019	3306.256	3307.751	470	0	160
2025.06.10	04:05:00	3307.753	3308.786	3306.850	3307.097	522	0	160
2025.06.10	04:10:00	3307.025	3307.285	3306.076	3306.430	542	0	159
2025.06.10	04:15:00	3306.502	3307.546	3306.201	3307.469	381	0	160
2025.06.10	04:20:00	3307.437	3308.335	3307.021	3307.479	374	0	160
2025.06.10	04:25:00	3307.489	3307.560	3302.869	3303.544	650	0	160
2025.06.10	04:30:00	3303.519	3304.445	3302.789	3303.731	650	0	159
2025.06.10	04:35:00	3303.733	3305.246	3303.283	3304.982	502	0	160
2025.06.10	04:40:00	3304.996	3306.293	3303.939	3305.015	564	0	159
2025.06.10	04:45:00	3305.051	3306.433	3304.430	3306.152	448	0	159
2025.06.10	04:50:00	3306.150	3307.741	3305.814	3307.566	469	0	160
2025.06.10	04:55:00	3307.563	3308.263	3306.896	3307.318	506	0	160
2025.06.10	05:00:00	3307.328	3310.097	3306.813	3309.874	710	0	159
2025.06.10	05:05:00	3309.927	3311.257	3309.739	3310.882	637	0	160
2025.06.10	05:10:00	3310.907	3311.654	3310.186	3310.514	641	0	160
2025.06.10	05:15:00	3310.398	3311.320	3309.596	3311.159	614	0	160
2025.06.10	05:20:00	3311.234	3313.293	3310.364	3312.556	979	0	160
2025.06.10	05:25:00	3312.627	3312.908	3309.478	3310.647	1035	0	160
2025.06.10	05:30:00	3310.612	3316.880	3309.494	3316.865	2043	0	159
2025.06.10	05:35:00	3316.891	3319.206	3316.696	3317.489	1504	0	159
2025.06.10	05:40:00	3317.429	3317.558	3313.475	3315.716	1446	0	159
2025.06.10	05:45:00	3315.767	3316.574	3313.720	3316.170	1131	0	159
2025.06.10	05:50:00	3316.213	3319.018	3315.421	3317.915	1138	0	160
2025.06.10	05:55:00	3317.968	3319.128	3317.176	3317.623	910	0	159
2025.06.10	06:00:00	3317.712	3318.824	3315.504	3317.298	807	0	160
2025.06.10	06:05:00	3317.328	3319.726	3316.847	3319.489	1082	0	160
2025.06.10	06:10:00	3319.533	3321.977	3318.924	3321.459	930	0	160
2025.06.10	06:15:00	3321.462	3323.955	3320.834	3322.940	1114	0	160
